study,site_id,country,region,subject_count,site_risk_category,cluster_id,cluster_name,prob_cluster_0,prob_cluster_1,prob_cluster_2
Study_22,Site 1965,CAN,AMERICA,22,Low,0,Cluster_0_Low_Risk,1.0,0.0,4.2125346178646e-19
Study_22,Site 1966,CAN,AMERICA,12,Low,0,Cluster_0_Low_Risk,1.0,0.0,4.0982019662201103e-19
Study_22,Site 1967,CAN,AMERICA,71,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 1968,COL,AMERICA,42,Low,0,Cluster_0_Low_Risk,1.0,0.0,2.976800172043555e-19
Study_22,Site 1969,COL,AMERICA,10,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.8204379270000825e-19
Study_22,Site 1970,COL,AMERICA,59,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 1971,COL,AMERICA,16,Low,0,Cluster_0_Low_Risk,1.0,0.0,4.324826469606455e-19
Study_22,Site 1972,COL,AMERICA,10,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 1973,COL,AMERICA,25,Low,0,Cluster_0_Low_Risk,1.0,0.0,4.059784818513755e-19
Study_22,Site 1974,COL,AMERICA,28,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 1975,COL,AMERICA,21,Low,0,Cluster_0_Low_Risk,1.0,0.0,4.2533705157185304e-19
Study_22,Site 1976,COL,AMERICA,37,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 1977,COL,AMERICA,22,Low,0,Cluster_0_Low_Risk,1.0,0.0,4.2125346178646e-19
Study_22,Site 1978,COL,AMERICA,48,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 1979,COL,AMERICA,7,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.0913889908221326e-19
Study_22,Site 198,CHN,ASIA,20,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 1980,COL,AMERICA,25,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 1981,MEX,AMERICA,9,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 1982,MEX,AMERICA,71,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 1983,MEX,AMERICA,31,Low,0,Cluster_0_Low_Risk,1.0,0.0,5.057357298028456e-16
Study_22,Site 1984,MEX,AMERICA,28,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 1985,MEX,AMERICA,15,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 1986,MEX,AMERICA,53,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 1987,MEX,AMERICA,32,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 1988,MEX,AMERICA,17,Low,0,Cluster_0_Low_Risk,1.0,0.0,2.111050020716596e-17
Study_22,Site 1989,MEX,AMERICA,13,Low,0,Cluster_0_Low_Risk,0.9999999994752935,0.0,5.247066390639745e-10
Study_22,Site 1990,MEX,AMERICA,39,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.298192294730279e-19
Study_22,Site 1991,MEX,AMERICA,19,Low,0,Cluster_0_Low_Risk,1.0,0.0,4.313200940858773e-19
Study_22,Site 1992,MEX,AMERICA,19,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 1993,MEX,AMERICA,18,Low,0,Cluster_0_Low_Risk,1.0,0.0,4.329302127631424e-19
Study_22,Site 1994,MEX,AMERICA,24,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 1995,MEX,AMERICA,11,Low,2,Cluster_2_Average,2.965228485714301e-29,0.0,1.0
Study_22,Site 1996,MEX,AMERICA,23,Low,0,Cluster_0_Low_Risk,1.0,0.0,4.166018630950262e-19
Study_22,Site 1997,MEX,AMERICA,25,Low,0,Cluster_0_Low_Risk,1.0,0.0,4.059784818513755e-19
Study_22,Site 1998,MEX,AMERICA,41,Low,0,Cluster_0_Low_Risk,0.9987816144533576,0.0,0.0012183855466432532
Study_22,Site 1999,MEX,AMERICA,14,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2,AUS,ASIA,20,Low,0,Cluster_0_Low_Risk,1.0,0.0,4.287372390067869e-19
Study_22,Site 20,USA,AMERICA,49,Low,0,Cluster_0_Low_Risk,0.9999999997768274,0.0,2.2317219335654073e-10
Study_22,Site 200,CHN,ASIA,52,Low,0,Cluster_0_Low_Risk,1.0,0.0,2.4797324955128183e-19
Study_22,Site 2000,MEX,AMERICA,3,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.3691631706922861e-19
Study_22,Site 2001,MEX,AMERICA,13,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2002,MEX,AMERICA,80,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2003,MEX,AMERICA,39,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.1618571654721795e-19
Study_22,Site 2004,MEX,AMERICA,6,Low,0,Cluster_0_Low_Risk,1.0,0.0,2.743962688818995e-19
Study_22,Site 2005,MEX,AMERICA,26,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2006,MEX,AMERICA,19,Low,0,Cluster_0_Low_Risk,1.0,0.0,4.313200940858773e-19
Study_22,Site 2007,USA,AMERICA,60,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2008,USA,AMERICA,46,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2009,USA,AMERICA,8,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.383305429752128e-19
Study_22,Site 201,CHN,ASIA,6,Low,0,Cluster_0_Low_Risk,1.0,0.0,2.743962688818995e-19
Study_22,Site 2010,USA,AMERICA,37,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2011,USA,AMERICA,14,Low,0,Cluster_0_Low_Risk,1.0,0.0,4.2558321214886884e-19
Study_22,Site 2012,USA,AMERICA,46,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2013,USA,AMERICA,7,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.0913889908221326e-19
Study_22,Site 2014,USA,AMERICA,4,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.8762291110292744e-19
Study_22,Site 2015,USA,AMERICA,47,Low,0,Cluster_0_Low_Risk,1.0,0.0,2.7651475297371793e-19
Study_22,Site 2016,USA,AMERICA,10,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.8204379270000825e-19
Study_22,Site 2017,USA,AMERICA,14,Low,0,Cluster_0_Low_Risk,1.0,0.0,4.2558321214886884e-19
Study_22,Site 2018,USA,AMERICA,14,Low,0,Cluster_0_Low_Risk,1.0,0.0,4.2558321214886884e-19
Study_22,Site 2019,USA,AMERICA,44,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 202,CHN,ASIA,26,Low,0,Cluster_0_Low_Risk,1.0,0.0,4.0016606040380196e-19
Study_22,Site 2020,USA,AMERICA,20,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2021,USA,AMERICA,26,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2022,USA,AMERICA,31,Low,0,Cluster_0_Low_Risk,0.999999999999666,0.0,3.3327846596313945e-13
Study_22,Site 2023,USA,AMERICA,18,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2024,USA,AMERICA,11,Low,0,Cluster_0_Low_Risk,1.0,0.0,5.0229093210285245e-18
Study_22,Site 2025,USA,AMERICA,19,Low,0,Cluster_0_Low_Risk,1.0,0.0,4.313200940858773e-19
Study_22,Site 2026,USA,AMERICA,60,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 2027,USA,AMERICA,10,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.8204379270000825e-19
Study_22,Site 2028,USA,AMERICA,6,Low,0,Cluster_0_Low_Risk,1.0,0.0,2.743962688818995e-19
Study_22,Site 2029,USA,AMERICA,49,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 203,CHN,ASIA,39,Low,0,Cluster_0_Low_Risk,1.0,0.0,2.0807138154990592e-18
Study_22,Site 2030,USA,AMERICA,13,Low,0,Cluster_0_Low_Risk,1.0,0.0,4.1898786744376856e-19
Study_22,Site 2031,USA,AMERICA,9,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.624495505851688e-19
Study_22,Site 2032,USA,AMERICA,3,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.8950030542050866e-19
Study_22,Site 2033,USA,AMERICA,17,Low,0,Cluster_0_Low_Risk,1.0,0.0,4.691691860389063e-18
Study_22,Site 2034,USA,AMERICA,18,Low,2,Cluster_2_Average,0.0,0.0,1.0
