study,site_id,country,region,subject_count,site_risk_category,cluster_id,cluster_name,prob_cluster_0,prob_cluster_1,prob_cluster_2
Study_1,Site 1,FRA,EMEA,1,Medium,0,Cluster_0_Low_Risk,0.9999999999999929,6.362370021526113e-15,6.802990280676712e-25
Study_1,Site 10,DEU,EMEA,3,Medium,1,Cluster_1_High_Risk_Elevated_DQI,5.550285180572729e-14,0.9999999949873128,5.012632365368358e-09
Study_1,Site 11,SGP,ASIA,2,Medium,1,Cluster_1_High_Risk_Elevated_DQI,0.0,0.9999999978807832,2.1192176203869665e-09
Study_1,Site 12,KOR,ASIA,1,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,1.0,1.2975083705814038e-66
Study_1,Site 13,ESP,EMEA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.5958296806358775e-20
Study_1,Site 14,ESP,EMEA,14,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_1,Site 15,ESP,EMEA,16,High,2,Cluster_2_Average,0.0,0.0,1.0
Study_1,Site 16,ESP,EMEA,5,Medium,0,Cluster_0_Low_Risk,0.9999999999983693,1.6291711755890474e-12,1.0786361821904856e-21
Study_1,Site 17,ESP,EMEA,3,High,2,Cluster_2_Average,0.0,0.0,1.0
Study_1,Site 18,USA,AMERICA,14,Medium,1,Cluster_1_High_Risk_Elevated_DQI,0.0,0.999999986514581,1.3485419251154713e-08
Study_1,Site 19,USA,AMERICA,5,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,1.0,1.8258586681758224e-36
Study_1,Site 2,FRA,EMEA,4,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,1.0,4.446793149230613e-19
Study_1,Site 20,USA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_1,Site 21,USA,AMERICA,3,High,2,Cluster_2_Average,0.0,0.0,1.0
Study_1,Site 22,USA,AMERICA,1,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,1.0,0.0
Study_1,Site 23,USA,AMERICA,3,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,0.9999999999649329,3.5066734031508075e-11
Study_1,Site 24,USA,AMERICA,1,High,1,Cluster_1_High_Risk_Elevated_DQI,6.42262944112297e-66,0.9999999978682919,2.131708235934939e-09
Study_1,Site 25,GBR,EMEA,2,Medium,0,Cluster_0_Low_Risk,0.9999999999999893,8.981051535683366e-15,2.26831438576791e-24
Study_1,Site 26,CHN,ASIA,3,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_1,Site 27,CHN,ASIA,3,High,0,Cluster_0_Low_Risk,1.0,0.0,0.0
Study_1,Site 3,FRA,EMEA,3,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,0.9999999832071539,1.679284626047363e-08
Study_1,Site 4,FRA,EMEA,2,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,1.0,7.563728266358402e-36
Study_1,Site 5,AUT,EMEA,1,Medium,1,Cluster_1_High_Risk_Elevated_DQI,0.0,0.9999999992659205,7.340795701141106e-10
Study_1,Site 6,AUT,EMEA,2,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,1.0,3.4286845265719856e-133
Study_1,Site 7,ISR,EMEA,1,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,1.0,6.360822385357643e-132
Study_1,Site 8,ISR,EMEA,1,Medium,0,Cluster_0_Low_Risk,0.9999999999999929,6.362370021526113e-15,6.802990280676712e-25
Study_1,Site 9,CZE,EMEA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_10,Site 11,HUN,EMEA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_10,Site 149,POL,EMEA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_10,Site 153,ITA,EMEA,1,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,1.0,9.010658855360326e-37
Study_10,Site 154,ITA,EMEA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_10,Site 28,USA,AMERICA,4,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_10,Site 29,USA,AMERICA,1,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,1.0,2.0900144624183945e-58
Study_10,Site 32,USA,AMERICA,1,Medium,0,Cluster_0_Low_Risk,0.9999999977641547,2.235845201021699e-09,1.539187097539442e-17
Study_10,Site 33,USA,AMERICA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_10,Site 357,USA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_10,Site 36,USA,AMERICA,3,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_10,Site 38,USA,AMERICA,6,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_10,Site 40,USA,AMERICA,3,High,2,Cluster_2_Average,0.0,0.0,1.0
Study_10,Site 42,USA,AMERICA,2,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_10,Site 451,USA,AMERICA,3,Medium,1,Cluster_1_High_Risk_Elevated_DQI,0.0,0.999999993248256,6.751744624185974e-09
Study_10,Site 452,USA,AMERICA,1,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,1.0,4.234714615705729e-17
Study_10,Site 453,USA,AMERICA,6,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_10,Site 454,USA,AMERICA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_10,Site 455,USA,AMERICA,6,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_10,Site 456,USA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_10,Site 457,USA,AMERICA,1,Medium,1,Cluster_1_High_Risk_Elevated_DQI,0.0,0.9999999744423057,2.5557693849280782e-08
Study_10,Site 458,USA,AMERICA,2,Medium,1,Cluster_1_High_Risk_Elevated_DQI,0.0,0.999999981649806,1.8350194141603674e-08
Study_10,Site 459,CHN,ASIA,2,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_10,Site 460,CHN,ASIA,3,Low,0,Cluster_0_Low_Risk,0.999999920693659,0.0,7.930634110658589e-08
Study_10,Site 461,JPN,ASIA,2,Medium,1,Cluster_1_High_Risk_Elevated_DQI,0.0,0.9999999909425412,9.05745930167781e-09
Study_10,Site 462,JPN,ASIA,2,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,0.9999999999999929,7.132350704523694e-15
Study_10,Site 463,JPN,ASIA,4,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,0.9999999927468828,7.253117777752619e-09
Study_10,Site 464,POL,EMEA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_10,Site 465,ESP,EMEA,3,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.750195340411659e-19
Study_10,Site 50,CAN,AMERICA,2,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,0.9999999930226497,6.977351022049718e-09
Study_10,Site 51,CAN,AMERICA,3,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_10,Site 79,CHN,ASIA,1,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,1.0,3.8234811216425184e-17
Study_10,Site 8,CHN,ASIA,3,Medium,2,Cluster_2_Average,1.722546697018102e-95,0.0,1.0
Study_10,Site 87,CZE,EMEA,1,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,1.0,1.0311971060031488e-17
Study_10,Site 9,JPN,ASIA,3,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_11,Site 12,ESP,EMEA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_11,Site 125,NLD,EMEA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 127,NLD,EMEA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 128,NLD,EMEA,3,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_11,Site 130,POL,EMEA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_11,Site 131,POL,EMEA,3,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.3691631706922861e-19
Study_11,Site 14,CAN,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 148,CHE,EMEA,10,Low,0,Cluster_0_Low_Risk,0.999973904635247,0.0,2.6095364753410036e-05
Study_11,Site 149,CHE,EMEA,7,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.0913889908221326e-19
Study_11,Site 15,CAN,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 155,GBR,EMEA,1,Medium,1,Cluster_1_High_Risk_Elevated_DQI,0.0,0.9999999794266172,2.057338293665427e-08
Study_11,Site 157,GBR,EMEA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 158,GBR,EMEA,6,Low,0,Cluster_0_Low_Risk,1.0,0.0,2.743962688818995e-19
Study_11,Site 178,USA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 18,USA,AMERICA,5,Low,0,Cluster_0_Low_Risk,1.0,0.0,2.338284220982613e-19
Study_11,Site 181,USA,AMERICA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_11,Site 183,USA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 184,USA,AMERICA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_11,Site 186,USA,AMERICA,2,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_11,Site 188,USA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 189,USA,AMERICA,4,Low,2,Cluster_2_Average,0.0011874984766444942,0.0,0.9988125015233561
Study_11,Site 2,JPN,ASIA,3,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.3691631706922861e-19
Study_11,Site 20,USA,AMERICA,6,Low,0,Cluster_0_Low_Risk,1.0,0.0,4.404488920971809e-19
Study_11,Site 21,USA,AMERICA,5,Low,0,Cluster_0_Low_Risk,1.0,0.0,2.338284220982613e-19
Study_11,Site 24,USA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 28,JPN,ASIA,3,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.3691631706922861e-19
Study_11,Site 29,JPN,ASIA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 31,JPN,ASIA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 326,USA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 330,USA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 34,JPN,ASIA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_11,Site 35,JPN,ASIA,9,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_11,Site 350,BRA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 351,CHL,AMERICA,4,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.8762291110292744e-19
Study_11,Site 353,ESP,EMEA,5,Low,0,Cluster_0_Low_Risk,0.9999820247957512,0.0,1.7975204249188194e-05
Study_11,Site 357,JPN,ASIA,3,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.3691631706922861e-19
Study_11,Site 358,HUN,EMEA,10,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.8204379270000825e-19
Study_11,Site 359,HUN,EMEA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 36,JPN,ASIA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 37,JPN,ASIA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 39,JPN,ASIA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 4,JPN,ASIA,6,Low,0,Cluster_0_Low_Risk,1.0,0.0,2.743962688818995e-19
Study_11,Site 41,JPN,ASIA,8,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.383305429752128e-19
Study_11,Site 417,ITA,EMEA,1,High,2,Cluster_2_Average,1.259926359422261e-21,0.0,1.0
Study_11,Site 42,JPN,ASIA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_11,Site 450,USA,AMERICA,6,Low,0,Cluster_0_Low_Risk,1.0,0.0,2.743962688818995e-19
Study_11,Site 452,JPN,ASIA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_11,Site 453,JPN,ASIA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 454,JPN,ASIA,4,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_11,Site 455,JPN,ASIA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_11,Site 459,CZE,EMEA,6,Low,0,Cluster_0_Low_Risk,1.0,0.0,2.743962688818995e-19
Study_11,Site 466,AUS,ASIA,9,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.624495505851688e-19
Study_11,Site 467,AUS,ASIA,7,Low,0,Cluster_0_Low_Risk,1.0,0.0,6.272502529381628e-18
Study_11,Site 468,AUS,ASIA,5,Medium,0,Cluster_0_Low_Risk,1.0,0.0,3.6002476908563703e-31
Study_11,Site 469,LBN,EMEA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 470,ZAF,EMEA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_11,Site 471,CZE,EMEA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_11,Site 472,CZE,EMEA,8,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_11,Site 473,CZE,EMEA,4,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.8762291110292744e-19
Study_11,Site 474,CZE,EMEA,8,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_11,Site 475,DNK,EMEA,3,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.3691631706922861e-19
Study_11,Site 476,DNK,EMEA,2,High,2,Cluster_2_Average,0.0,0.0,1.0
Study_11,Site 477,DNK,EMEA,6,Low,0,Cluster_0_Low_Risk,1.0,0.0,2.743962688818995e-19
Study_11,Site 478,DNK,EMEA,3,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.3691631706922861e-19
Study_11,Site 479,FRA,EMEA,4,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.8762291110292744e-19
Study_11,Site 480,FRA,EMEA,8,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.383305429752128e-19
Study_11,Site 481,FRA,EMEA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 482,FRA,EMEA,4,High,0,Cluster_0_Low_Risk,0.999999999160746,0.0,8.392546512631816e-10
Study_11,Site 483,FRA,EMEA,7,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.0913889908221326e-19
Study_11,Site 484,FRA,EMEA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_11,Site 485,FRA,EMEA,6,Low,0,Cluster_0_Low_Risk,1.0,0.0,2.743962688818995e-19
Study_11,Site 486,FRA,EMEA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_11,Site 487,FRA,EMEA,5,Low,0,Cluster_0_Low_Risk,1.0,0.0,2.338284220982613e-19
Study_11,Site 488,FRA,EMEA,4,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_11,Site 489,FRA,EMEA,5,Low,0,Cluster_0_Low_Risk,1.0,0.0,2.338284220982613e-19
Study_11,Site 490,FRA,EMEA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_11,Site 491,FRA,EMEA,3,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.8306946292320025e-19
Study_11,Site 492,FRA,EMEA,3,Low,2,Cluster_2_Average,5.831435552690543e-142,0.0,1.0
Study_11,Site 493,DEU,EMEA,5,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.0032545597637578e-18
Study_11,Site 494,DEU,EMEA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_11,Site 495,DEU,EMEA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_11,Site 496,DEU,EMEA,3,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_11,Site 497,DEU,EMEA,3,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.3691631706922861e-19
Study_11,Site 498,DEU,EMEA,5,Low,0,Cluster_0_Low_Risk,1.0,0.0,2.338284220982613e-19
Study_11,Site 499,DEU,EMEA,3,Low,0,Cluster_0_Low_Risk,0.9999999999999876,0.0,1.1853713370670166e-14
Study_11,Site 5,ZAF,EMEA,5,Low,0,Cluster_0_Low_Risk,0.9999902966143595,0.0,9.703385640854382e-06
Study_11,Site 50,TUR,EMEA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 500,DEU,EMEA,4,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_11,Site 501,DEU,EMEA,5,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_11,Site 502,ITA,EMEA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_11,Site 503,ITA,EMEA,8,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.383305429752128e-19
Study_11,Site 504,ITA,EMEA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_11,Site 505,ITA,EMEA,6,Low,0,Cluster_0_Low_Risk,0.9999999985774282,0.0,1.422571674612727e-09
Study_11,Site 506,ITA,EMEA,5,Low,0,Cluster_0_Low_Risk,0.9999820247957512,0.0,1.7975204249188194e-05
Study_11,Site 507,ITA,EMEA,2,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,0.5707912499305772,0.42920875006942255
Study_11,Site 508,ITA,EMEA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 509,POL,EMEA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 510,POL,EMEA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_11,Site 511,POL,EMEA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_11,Site 512,ESP,EMEA,4,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.8762291110292744e-19
Study_11,Site 513,ESP,EMEA,3,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.3691631706922861e-19
Study_11,Site 514,ESP,EMEA,3,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.3691631706922861e-19
Study_11,Site 515,ESP,EMEA,4,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.8762291110292744e-19
Study_11,Site 516,ESP,EMEA,4,Low,0,Cluster_0_Low_Risk,1.0,0.0,4.149248740216802e-18
Study_11,Site 517,CHE,EMEA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 518,ISR,EMEA,4,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.8762291110292744e-19
Study_11,Site 519,ISR,EMEA,5,Low,0,Cluster_0_Low_Risk,1.0,0.0,2.338284220982613e-19
Study_11,Site 520,COL,AMERICA,3,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_11,Site 521,COL,AMERICA,4,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_11,Site 522,COL,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 523,COL,AMERICA,3,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.3691631706922861e-19
Study_11,Site 524,ARG,AMERICA,4,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_11,Site 525,ARG,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 526,ARG,AMERICA,6,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_11,Site 527,ARG,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 528,MEX,AMERICA,8,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_11,Site 529,BRA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 530,BRA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 531,CHL,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 532,CHL,AMERICA,3,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_11,Site 533,CHL,AMERICA,7,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.0913889908221326e-19
Study_11,Site 534,CHL,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 535,USA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 536,USA,AMERICA,4,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.8762291110292744e-19
Study_11,Site 537,USA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 538,USA,AMERICA,3,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.3691631706922861e-19
Study_11,Site 539,USA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 540,ISL,EMEA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 541,IRL,EMEA,4,Low,2,Cluster_2_Average,0.0011874984766444942,0.0,0.9988125015233561
Study_11,Site 542,SWE,EMEA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_11,Site 543,USA,AMERICA,4,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.8762291110292744e-19
Study_11,Site 544,USA,AMERICA,5,Low,0,Cluster_0_Low_Risk,1.0,0.0,2.338284220982613e-19
Study_11,Site 545,USA,AMERICA,3,Low,2,Cluster_2_Average,1.7192128452443385e-20,0.0,1.0
Study_11,Site 546,USA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 547,USA,AMERICA,3,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.3691631706922861e-19
Study_11,Site 548,USA,AMERICA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_11,Site 549,USA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 550,USA,AMERICA,4,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.8762291110292744e-19
Study_11,Site 551,USA,AMERICA,3,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.3691631706922861e-19
Study_11,Site 552,USA,AMERICA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_11,Site 553,USA,AMERICA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_11,Site 6,ZAF,EMEA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_11,Site 62,BEL,EMEA,3,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.3691631706922861e-19
Study_11,Site 63,BEL,EMEA,3,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_11,Site 7,CZE,EMEA,3,Low,2,Cluster_2_Average,1.7192128452443385e-20,0.0,1.0
Study_11,Site 8,CZE,EMEA,5,Low,0,Cluster_0_Low_Risk,1.0,0.0,2.338284220982613e-19
Study_11,Site 87,HUN,EMEA,3,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.3691631706922861e-19
Study_11,Site 88,HUN,EMEA,4,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.8762291110292744e-19
Study_13,Site 109,USA,AMERICA,2,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,0.9999999951125798,4.887420824307939e-09
Study_13,Site 110,AUS,ASIA,1,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,1.0,1.0791628161929135e-288
Study_13,Site 125,KOR,ASIA,1,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,1.0,2.712133871369665e-16
Study_13,Site 130,SGP,ASIA,5,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,0.9999999999904361,9.56420860216857e-12
Study_13,Site 2,CAN,AMERICA,2,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,1.0,1.3610487724390474e-33
Study_13,Site 353,TWN,ASIA,1,Medium,0,Cluster_0_Low_Risk,0.9999999999999787,2.1286272411126942e-14,1.5985002026724338e-23
Study_13,Site 417,JPN,ASIA,3,Medium,1,Cluster_1_High_Risk_Elevated_DQI,0.0,0.9999999966751218,3.324878591035774e-09
Study_13,Site 468,USA,AMERICA,1,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,1.0,4.604572991159953e-32
Study_13,Site 588,ISR,EMEA,1,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,0.9999999984761008,1.5238988558103678e-09
Study_13,Site 589,ISR,EMEA,2,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,0.9999999999999751,2.51662283011979e-14
Study_13,Site 597,USA,AMERICA,1,High,1,Cluster_1_High_Risk_Elevated_DQI,1.8806522228592074e-46,0.9999999940286681,5.9713317132253475e-09
Study_13,Site 598,DEU,EMEA,1,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,0.9999999995653877,4.346121097699015e-10
Study_13,Site 87,AUS,ASIA,1,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,0.9999999916724924,8.327507786315187e-09
Study_14,Site 502,CAN,AMERICA,2,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,1.0,8.401051717116323e-60
Study_14,Site 503,CAN,AMERICA,1,Medium,0,Cluster_0_Low_Risk,0.9999999999999893,1.0741371578327007e-14,9.054825894558084e-25
Study_15,Site 2,USA,AMERICA,26,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,0.9999999999959392,4.0595712885603165e-12
Study_15,Site 3,USA,AMERICA,67,Medium,1,Cluster_1_High_Risk_Elevated_DQI,0.0,0.9999999992549213,7.450770376649398e-10
Study_16,Site 599,USA,AMERICA,2,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,1.0,7.32399499526094e-24
Study_16,Site 600,USA,AMERICA,1,Medium,0,Cluster_0_Low_Risk,0.9999999999999893,8.89974243459571e-15,8.127272632705943e-25
Study_16,Site 601,USA,AMERICA,7,Medium,0,Cluster_0_Low_Risk,0.9999999999999964,4.673525706625516e-15,1.1405651889406226e-24
Study_16,Site 602,USA,AMERICA,22,High,2,Cluster_2_Average,0.0,0.0,1.0
